symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-01-02 00:00:00+00:00,75.08750153,75.15000153,73.79750061,74.05999756,135480400,72.53850555,75.15000153,73.79750061,74.05999756,135480400,0,1
AAPL,2020-01-03 00:00:00+00:00,74.35749817,75.14499664,74.125,74.28749847,146322800,71.8332901,75.14499664,74.125,74.28749847,146322800,0,1
AAPL,2020-01-06 00:00:00+00:00,74.94999695,74.98999786,73.1875,73.44750214,118387200,72.4056778,74.98999786,73.1875,73.44750214,118387200,0,1
AAPL,2020-01-07 00:00:00+00:00,74.59750366,75.22499847,74.37000275,74.95999908,108872000,72.06515503,75.22499847,74.37000275,74.95999908,108872000,0,1
AAPL,2020-01-08 00:00:00+00:00,75.79750061,76.11000061,74.29000092,74.29000092,132079200,73.22439575,76.11000061,74.29000092,74.29000092,132079200,0,1
AAPL,2020-01-09 00:00:00+00:00,77.40750122,77.60749817,76.55000305,76.80999756,170108400,74.77975464,77.60749817,76.55000305,76.80999756,170108400,0,1
AAPL,2020-01-10 00:00:00+00:00,77.58249664,78.16750336,77.0625,77.65000153,140644800,74.94881439,78.16750336,77.0625,77.65000153,140644800,0,1
AAPL,2020-01-13 00:00:00+00:00,79.23999786,79.26750183,77.78749847,77.91000366,121532000,76.55004883,79.26750183,77.78749847,77.91000366,121532000,0,1
AAPL,2020-01-14 00:00:00+00:00,78.16999817,79.39250183,78.04250336,79.17500305,161954400,75.51638031,79.39250183,78.04250336,79.17500305,161954400,0,1
AAPL,2020-01-15 00:00:00+00:00,77.83499908,78.875,77.38749695,77.96250153,121923600,75.19274139,78.875,77.38749695,77.96250153,121923600,0,1
AAPL,2020-01-16 00:00:00+00:00,78.80999756,78.92500305,78.02249908,78.39749908,108829200,76.13466644,78.92500305,78.02249908,78.39749908,108829200,0,1
AAPL,2020-01-17 00:00:00+00:00,79.68250275,79.68499756,78.75,79.06749725,137816400,76.97753906,79.68499756,78.75,79.06749725,137816400,0,1
AAPL,2020-01-21 00:00:00+00:00,79.14250183,79.75499725,79,79.29750061,110843200,76.45587158,79.75499725,79,79.29750061,110843200,0,1
AAPL,2020-01-22 00:00:00+00:00,79.42500305,79.99749756,79.32749939,79.64499664,101832400,76.72875977,79.99749756,79.32749939,79.64499664,101832400,0,1
AAPL,2020-01-23 00:00:00+00:00,79.80750275,79.88999939,78.91249847,79.48000336,104472000,77.09828186,79.88999939,78.91249847,79.48000336,104472000,0,1
AAPL,2020-01-24 00:00:00+00:00,79.57749939,80.83249664,79.37999725,80.0625,146537600,76.876091,80.83249664,79.37999725,80.0625,146537600,0,1
AAPL,2020-01-27 00:00:00+00:00,77.23750305,77.94249725,76.22000122,77.51499939,161940000,74.61553955,77.94249725,76.22000122,77.51499939,161940000,0,1
AAPL,2020-01-28 00:00:00+00:00,79.42250061,79.59999847,78.04750061,78.15000153,162234000,76.72637177,79.59999847,78.04750061,78.15000153,162234000,0,1
